percent,BARP_acc_mean,BARP_acc_std,BARP_wacc_mean,BARP_wacc_std,BARP_tau_mean,BARP_tau_std
10,0.7867310643196106,3.170667944327165e-05,0.8691318273544312,2.5873252420901433e-05,0.5687733021302501,6.289317846311458e-05
20,0.7818574845790863,2.9877846509032117e-05,0.8657426953315734,2.4778487463465835e-05,0.5591058472746321,5.927253296837461e-05
40,0.768399429321289,3.003223427416997e-05,0.8541305184364318,3.4758849139834315e-05,0.5324098223791549,5.957516937400462e-05
60,0.7417123079299927,5.46831748563196e-05,0.8278017580509186,5.849659752339723e-05,0.4794719596538859,0.0001084918671322955
80,0.6721900165081024,7.859017163210494e-05,0.7451513648033142,9.17688263641415e-05,0.34156426839258025,0.00015591537493780627
100,0.5170076668262482,6.376844671152118e-05,0.525122994184494,9.761201543804247e-05,0.033737226412879504,0.000126500194546571
150,0.2671612471342087,2.732182401068611e-05,0.1825532779097557,2.906049384149431e-05,-0.4618699328104607,5.4208370983853216e-05
233,0.22350116521120073,2.0442873715238473e-05,0.13961987495422362,2.00263111272796e-05,-0.548476137535524,4.055094150444944e-05
400,0.21394689828157426,7.132991619684804e-06,0.13153068721294403,6.903236936536251e-06,-0.5674284226561602,1.4155334704443712e-05
900,0.21028629392385484,2.1646833318293854e-06,0.1283826246857643,2.074383472691973e-06,-0.5746897645878138,4.303430848683984e-06
