percent,BT_acc_mean,BT_acc_std,BT_wacc_mean,BT_wacc_std,BT_tau_mean,BT_tau_std
10,0.7855005621910095,3.083070287206083e-05,0.868117094039917,2.636176720169737e-05,0.5663324020141735,6.117620653347813e-05
20,0.7807819187641144,2.783129029643991e-05,0.8648279666900635,2.6721264160951357e-05,0.5569723042924466,5.520692366118759e-05
40,0.7678205013275147,3.0235753147894535e-05,0.8536911070346832,3.0704486228829656e-05,0.5312614084710237,5.9970546310474706e-05
60,0.7416430294513703,4.6553189291874086e-05,0.8278552770614624,5.016485545329596e-05,0.47933452990363745,9.237028376314875e-05
80,0.6727598547935486,6.69215629171276e-05,0.7459427535533905,8.643625079582336e-05,0.3426946180366375,0.00013275050590913628
100,0.5150380611419678,0.00011138868046030195,0.5222316086292267,0.00015740980301750718,0.029830224101343488,0.00022097790736781892
150,0.26553682386875155,2.468445262880049e-05,0.18077049404382706,2.795028981675269e-05,-0.4650922078772817,4.897200047192751e-05
233,0.22412813752889632,1.7655782245991204e-05,0.14016296863555908,2.0344152367027134e-05,-0.5472324350835152,3.502845986076743e-05
400,0.2152070626616478,6.644655684335001e-06,0.1325736239552498,5.8194101780915964e-06,-0.5649287072446213,1.3193719629552512e-05
900,0.21162263453006744,1.3095263898143534e-06,0.12946987599134446,1.2119701691651146e-06,-0.5720389274859172,2.5830788781680214e-06
