percent,CrowdBT_acc_mean,CrowdBT_acc_std,CrowdBT_wacc_mean,CrowdBT_wacc_std,CrowdBT_tau_mean,CrowdBT_tau_std
10,0.7911640226840972,7.351360073046244e-06,0.8726622402668,6.818336297040717e-06,0.5775666972522833,1.4608997151303434e-05
20,0.7910329878330231,6.370900110813306e-06,0.8725932657718658,7.703081162136535e-06,0.5773067866576618,1.2642859587627267e-05
40,0.790606701374054,1.535340216217158e-05,0.8722106635570526,1.832625329673601e-05,0.5764611796363267,3.0459650988502566e-05
60,0.7908015489578247,8.396608513060933e-06,0.8724125802516938,6.070144164305186e-06,0.5768477033407127,1.667367353533832e-05
80,0.7905332446098328,8.126235920359218e-06,0.8721781551837922,9.827396130938518e-06,0.5763154730135274,1.6135337870570454e-05
100,0.7904538452625275,1.65640321209067e-05,0.8720721483230591,9.747384310115517e-06,0.5761580152299847,3.2846006989725676e-05
150,0.7901756644248963,1.0743720273521697e-05,0.8718073010444641,8.328507340225131e-06,0.5756061848369645,2.12948185053631e-05
233,0.7900251269340515,7.463958174551842e-06,0.8716435551643371,5.735986338096029e-06,0.5753075513823013,1.478669663969106e-05
400,0.7898915231227874,1.511924539186601e-05,0.8715345740318299,7.649707574832348e-06,0.5750425375658506,2.9965979061689454e-05
900,0.7903960287570954,2.7359051377428985e-06,0.8720354020595551,1.9316043675176016e-06,0.5760432943848214,5.432530295194604e-06
