percent,GradEM_acc_mean,GradEM_acc_std,GradEM_wacc_mean,GradEM_wacc_std,GradEM_tau_mean,GradEM_tau_std
10,0.7913912475109101,1.1529438156627358e-05,0.8729676187038422,1.1357619314394376e-05,0.5780174488805836,2.2837218176437757e-05
20,0.7912366390228271,7.190158476081673e-06,0.8728516817092895,6.6767738566647246e-06,0.5777107710611786,1.4230693027827248e-05
40,0.7908512830734253,9.899461252662055e-06,0.8725655436515808,7.200093062565514e-06,0.5769463602357103,1.9638283403655697e-05
60,0.7908759474754333,7.977640278167696e-06,0.8726398825645447,7.313652646897662e-06,0.5769952747175469,1.5827399662951672e-05
80,0.7906507432460785,9.889344653573206e-06,0.8723792791366577,1.0698102270292322e-05,0.5765485846863698,1.957926556254326e-05
100,0.7904754698276519,9.736671862626194e-06,0.8721498668193817,7.16580961317784e-06,0.576200903923606,1.929789451297129e-05
150,0.7900915026664734,4.876505118614343e-06,0.8717771649360657,4.203949019435633e-06,0.5754392405074186,9.652323720661925e-06
233,0.7898845374584198,5.054828821396145e-06,0.871505618095398,5.157024729120929e-06,0.5750286914324101,1.0026468164542622e-05
400,0.7895800232887268,3.1229876239892927e-06,0.8713191032409668,3.1993650218149307e-06,0.574424609343202,6.221470227864999e-06
900,0.7898658156394959,1.737595520479901e-06,0.8716856896877289,1.3663511668209147e-06,0.5749915078139254,3.458582865085653e-06
