percent,htcv_acc_mean,htcv_acc_std,htcv_wacc_mean,htcv_wacc_std,htcv_tau_mean,htcv_tau_std
10,0.7917172014713287,5.451463099312532e-07,0.873298043012619,6.24257289446929e-07,0.5786640531767138,1.0907971299713e-06
20,0.7917222857475281,5.678417856128003e-07,0.8733015835285187,3.351138304917955e-07,0.5786741075100761,1.133841169426582e-06
40,0.7917344689369201,2.8756137171443756e-06,0.873312109708786,1.7591854246969896e-06,0.5786982867147508,5.684042117159692e-06
60,0.7917468905448913,5.56082906231432e-07,0.8733191668987275,4.0605595899226905e-07,0.5787229338966133,1.115517809784928e-06
80,0.7917539954185486,8.348055553441809e-07,0.8733242571353912,6.136963231840657e-07,0.5787370363975122,1.6533704062171027e-06
100,0.7838158667087555,2.156941224667304e-05,0.8667693555355072,1.9967841566235824e-05,0.5629905505097583,4.2777843598100305e-05
150,0.7857921123504639,8.999590814091858e-06,0.8683144867420196,9.576782352692537e-06,0.5669107147423822,1.7833615001022266e-05
233,0.7871087908744812,6.665110672292702e-06,0.8692666947841644,7.340884917161748e-06,0.569522547489002,1.3212083055723447e-05
400,0.7877376496791839,3.896616897719658e-06,0.8698401987552643,3.6253591170511187e-06,0.5707700105589705,7.719213293906783e-06
900,0.7888729214668274,2.4649529492531434e-06,0.870935583114624,1.6009590114783806e-06,0.5730220139920028,4.935840667779366e-06
