percent,NoisyBT_acc_mean,NoisyBT_acc_std,NoisyBT_wacc_mean,NoisyBT_wacc_std,NoisyBT_tau_mean,NoisyBT_tau_std
10,0.7916406512260437,4.309114898105126e-06,0.8730099141597748,2.181635851454647e-06,0.5785122023919762,8.530208303620068e-06
20,0.7916407883167267,2.386606001320055e-06,0.8730099976062775,1.235715123434703e-06,0.5785124532626721,4.7470033499380236e-06
40,0.7916606485843658,9.633298189298818e-07,0.8730223119258881,7.398902964402014e-07,0.5785518722366003,1.8954214973519255e-06
60,0.7916625916957856,9.73236350484815e-07,0.8730255007743836,1.4456307600551418e-06,0.578555697076357,1.9062255616290115e-06
80,0.7916651964187622,5.132787113889782e-06,0.8730273902416229,3.37348072473593e-06,0.578560881150546,1.0166260990897279e-05
100,0.7833258867263794,8.059646616905862e-05,0.866271150112152,9.112430844323444e-05,0.5620187702520609,0.0001598501721675313
150,0.7858825266361237,2.793536168783928e-05,0.8681182086467742,2.4486775639910897e-05,0.5670901001482358,5.538513292295842e-05
233,0.7874982237815857,3.296666895999274e-05,0.8695866823196411,3.151767370376371e-05,0.5702950872622571,6.537214815807507e-05
400,0.7885007917881012,4.653092245547803e-06,0.8703995108604431,3.732621608378111e-06,0.5722838202076345,9.254671534284938e-06
900,0.7899179339408875,9.426839673228843e-06,0.8716483771800995,4.748470530403063e-06,0.5750949306900838,1.8705410349907602e-05
