percent,RC_acc_mean,RC_acc_std,RC_wacc_mean,RC_wacc_std,RC_tau_mean,RC_tau_std
10,0.779467636346817,1.642404770033027e-05,0.8633884191513062,1.54423660309526e-05,0.5557998955224681,3.126914109903352e-05
20,0.7777786254882812,1.8966793629986847e-05,0.8621564090251923,1.836844665499369e-05,0.5519245056413316,4.095989626475507e-05
40,0.7732818841934204,3.5968080021850784e-05,0.8581336855888366,4.1753602909203165e-05,0.5428367906615272,7.082509091106972e-05
60,0.7662948846817017,3.7677083702549475e-05,0.8519735693931579,3.581219677250483e-05,0.5290038270466004,7.677288986360101e-05
80,0.7543324768543244,5.360581065562869e-05,0.8404972076416015,4.518065729242352e-05,0.5053388125130198,0.00010498144778210654
100,0.7354136884212494,0.00011623400301681304,0.8214112520217896,0.00013977601834767975,0.4678483697980558,0.00022956488986934233
150,0.5642863392829895,4.264394555358348e-05,0.5948577344417572,5.798581768123213e-05,0.12867041681183347,8.44702075588755e-05
233,0.26074198782444,3.70688710007631e-05,0.17573910802602768,3.57647925363335e-05,-0.4743523537539291,7.368374728050288e-05
400,0.2236240267753601,5.376557846064733e-06,0.13965252488851548,6.887100211217242e-06,-0.5481208318959272,1.0179011522557407e-05
900,0.21942175477743148,1.4849521147281317e-06,0.13566663712263108,1.049732604245197e-06,-0.5564949598207343,2.7488669151131454e-06
