percent,htcv_acc_mean,htcv_acc_std,htcv_wacc_mean,htcv_wacc_std,htcv_tau_mean,htcv_tau_std
10,0.7917162239551544,1.3133013452257111e-05,0.8732972502708435,1.0960845266508254e-05,0.5786620748603934,2.609432881698068e-05
20,0.7917246043682098,2.013469338621644e-05,0.8733037114143372,1.6514466938620793e-05,0.5786787358422989,3.997079975420554e-05
40,0.7917350113391877,2.645139771787604e-05,0.8733094573020935,2.241209465157658e-05,0.5786993789274677,5.24604755481817e-05
60,0.7917401850223541,2.928657647297829e-05,0.8733123421669007,2.3860265659060304e-05,0.5787096163299632,5.812392808362776e-05
80,0.7917492270469666,2.9974023210267134e-05,0.8733198463916778,2.858370616945823e-05,0.5787275460583383,5.945893657951467e-05
100,0.7917588889598847,3.4450633395709136e-05,0.8733291506767273,3.5827139731749474e-05,0.5787467249277732,6.833038708430015e-05
150,0.7917410612106324,3.386781652585508e-05,0.873312246799469,4.179473951482759e-05,0.5787113286306542,6.71892078385881e-05
233,0.7916895389556885,4.098456463266624e-05,0.8732752501964569,3.7079706506226456e-05,0.5786092027358001,8.128614824897724e-05
400,0.7829160511493682,0.0006327907354561791,0.8661882996559143,0.0005940667300825534,0.5612056499369535,0.0012552112883799796
900,0.7866468966007233,0.0003130271645761865,0.8693349361419678,0.00035977877272887985,0.5686063677455764,0.0006209412923578657
