percent,NoisyBT_acc_mean,NoisyBT_acc_std,NoisyBT_wacc_mean,NoisyBT_wacc_std,NoisyBT_tau_mean,NoisyBT_tau_std
10,0.7916390001773834,1.1086664210838201e-05,0.8730111002922059,1.090503749933681e-05,0.5785089074884892,2.200058037628842e-05
20,0.7916469037532806,1.7463580120245626e-05,0.8730170607566834,1.5095487915952236e-05,0.5785245819090177,3.4654715076379996e-05
40,0.7916434288024903,1.888772915124899e-05,0.8730172216892242,2.0492909900239487e-05,0.5785176893037767,3.7424590844988433e-05
60,0.7916441202163697,1.882801572751828e-05,0.8730165064334869,1.8068039843367392e-05,0.5785190526651529,3.7360462266885837e-05
80,0.7916406035423279,2.0569479144060388e-05,0.8730157375335693,2.085646838064089e-05,0.5785121070863093,4.0781128959305414e-05
100,0.7916548609733581,2.5877302814295215e-05,0.8730240881443023,2.6099226906819484e-05,0.5785403547349397,5.1362355637274784e-05
150,0.7916550934314728,3.167684065988077e-05,0.8730250775814057,3.744404441351049e-05,0.5785408364947097,6.281844682975585e-05
233,0.7916252195835114,3.153798911896705e-05,0.8730004012584687,3.8729821763385246e-05,0.578481554886981,6.256596197178982e-05
400,0.7830585598945617,0.0005219460125871632,0.866144335269928,0.0005951453294704348,0.5614883639102486,0.0010353675519393418
900,0.7878698348999024,0.0003092796513167257,0.8700752437114716,0.0002860721222668156,0.5710322281272978,0.000613475038503642
