percent,BT_acc_mean,BT_acc_std,BT_wacc_mean,BT_wacc_std,BT_tau_mean,BT_tau_std
10,0.7872809648513794,1.8267414643870393e-05,0.8694719254970551,1.0199922227147932e-05,0.5698640648707314,3.622313829657705e-05
20,0.785060453414917,2.3290102896154175e-05,0.8678857505321502,3.799976363300791e-05,0.5654594045361026,4.620927665716278e-05
40,0.7793962597846985,2.0427794432906764e-05,0.8632302939891815,1.8132208086530956e-05,0.5542235979511807,4.053686509580551e-05
60,0.7737216651439667,3.295739377994703e-05,0.8583369791507721,3.512996279985583e-05,0.5429672394803728,6.535961356643945e-05
80,0.7673585176467895,3.754788151765091e-05,0.85243861079216,3.6723311690082876e-05,0.5303449755022938,7.447249662350076e-05
100,0.7608257889747619,2.2113760200974242e-05,0.8461180984973907,1.329868855254742e-05,0.517386365892467,4.3863381717137564e-05
150,0.7447787463665009,4.281410762023543e-05,0.8300009429454803,4.376658670461011e-05,0.4855547224473108,8.491945483663745e-05
233,0.7157828509807587,4.0356942260715265e-05,0.7982410788536072,4.234042278425241e-05,0.42803703718431496,8.006114890722526e-05
400,0.6668142974376678,3.8002149500661626e-05,0.7374946892261505,4.7015281231306034e-05,0.33090071164571944,7.539485298311456e-05
900,0.5895193457603455,1.4342324222771431e-05,0.6307232737541199,2.20042104729425e-05,0.17757482672431982,2.8445477707147497e-05
