percent,CrowdBT_acc_mean,CrowdBT_acc_std,CrowdBT_wacc_mean,CrowdBT_wacc_std,CrowdBT_tau_mean,CrowdBT_tau_std
10,0.791667377948761,2.9307307447828167e-06,0.8729868233203888,2.7058473691167455e-06,0.5785652025386343,5.805922363444946e-06
20,0.7916432559490204,2.273032330597781e-06,0.8729675590991974,2.046627702940273e-06,0.5785173303727722,4.5166480802035395e-06
40,0.7917064964771271,1.1801341862362985e-05,0.873018616437912,9.175532511862081e-06,0.578642801020905,2.3400582060223627e-05
60,0.7916920781135559,4.304429390486081e-06,0.8729963660240173,3.0487295116203772e-06,0.5786141910059144,8.541286430045706e-06
80,0.7917249619960784,8.2875773623328e-06,0.8730342745780945,7.5202639631798036e-06,0.5786794440294754,1.6429843825310666e-05
100,0.7916873037815094,7.894969892949472e-06,0.8730050623416901,6.565459062439611e-06,0.5786047423079917,1.563760565621603e-05
150,0.7916837275028229,2.605268499830981e-06,0.8730246424674988,2.57599662446665e-06,0.5785976139760759,5.162268974629962e-06
233,0.7915864169597626,6.482237367744399e-06,0.8729047894477844,6.355308738605858e-06,0.5784046222610828,1.2869693418939555e-05
400,0.7912219285964965,1.8092341681218686e-06,0.8725534677505493,3.2598891324749156e-06,0.5776815963593291,3.5540337295168456e-06
900,0.7907825410366058,4.6639825201477385e-06,0.87229323387146,3.7762259153776077e-06,0.5768100266026239,9.281804379045618e-06
