percent,GradEM_acc_mean,GradEM_acc_std,GradEM_wacc_mean,GradEM_wacc_std,GradEM_tau_mean,GradEM_tau_std
10,0.7919917047023773,1.4804166782751542e-06,0.8734150230884552,1.5727609159897281e-06,0.5792085622010632,2.945537946113802e-06
20,0.7919457077980041,1.944208128183961e-06,0.8733855307102203,2.8337041101642354e-06,0.5791172786296698,3.8604835627764785e-06
40,0.7919285774230957,3.021761504272946e-06,0.8733780324459076,2.816399883454246e-06,0.5790833052407357,6.0219713388477065e-06
60,0.7918789565563202,2.627483348716395e-06,0.8733417212963104,2.9777337568505146e-06,0.5789849054059292,5.220096562980171e-06
80,0.791901308298111,1.7558702849583915e-06,0.8733676552772522,1.4545975933385926e-06,0.5790292373044452,3.4841345491221024e-06
100,0.7918148696422577,4.919420167203076e-06,0.8732962071895599,3.8683781820472e-06,0.5788577513614527,9.755862521756436e-06
150,0.7916791498661041,2.6648609429794895e-06,0.8732017397880554,2.446376781029482e-06,0.5785885458891522,5.2825109430506325e-06
233,0.791545432806015,2.8140778804402527e-06,0.8730824708938598,1.7882982819174937e-06,0.5783232784492375,5.604407419962146e-06
400,0.7909047722816467,1.5327570537626245e-05,0.8726142525672913,9.03232825610075e-06,0.5770524610204333,3.0407111612961443e-05
900,0.7888059020042419,7.166889851150509e-05,0.8712429702281952,4.951539228011563e-05,0.5728890832940393,0.00014215250813137014
