percent,PGEM_acc_mean,PGEM_acc_std,PGEM_wacc_mean,PGEM_wacc_std,PGEM_tau_mean,PGEM_tau_std
10,0.7920906901359558,1.6683339007882877e-06,0.8735754311084747,1.3333467111027643e-06,0.5794049038918273,3.3020780535953977e-06
20,0.792069137096405,2.0900757736151808e-06,0.8735590398311615,2.2910291827466205e-06,0.579362157623075,4.154436061565919e-06
40,0.7920769214630127,3.905828291837277e-06,0.8735760390758515,3.3953151678751354e-06,0.5793776138713328,7.729745259503937e-06
60,0.7920469760894775,2.739324683898436e-06,0.8735593616962433,2.443128880066693e-06,0.5793181932474558,5.42986917576447e-06
80,0.7921016454696655,2.828829156855783e-06,0.8736097633838653,1.806925399111554e-06,0.5794266216100484,5.625653463486557e-06
100,0.7920242786407471,3.781227715638386e-06,0.8735470652580262,3.5644175610580753e-06,0.5792731627976125,7.536831998003968e-06
150,0.7919470787048339,1.984718322207674e-06,0.8734940826892853,2.3715533934053194e-06,0.5791200466998556,3.9369654226749945e-06
233,0.7919494390487671,3.0201150624446833e-06,0.8734478652477264,2.3436452340551705e-06,0.5791247242570821,6.021512474880012e-06
400,0.7917279601097107,3.065209062193932e-06,0.8732348799705505,2.2671400578573466e-06,0.5786853758789124,6.053361105190829e-06
900,0.7913789033889771,2.4146576529811077e-06,0.8730658531188965,2.467545908645967e-06,0.5779929861303751,4.775841860873359e-06
