percent,RC_acc_mean,RC_acc_std,RC_wacc_mean,RC_wacc_std,RC_tau_mean,RC_tau_std
10,0.7799980521202088,7.843654200050949e-06,0.8638039529323578,9.732044088554174e-06,0.5570473815406978,1.3382152047678882e-05
20,0.7794859409332275,1.185919752175246e-05,0.8634212255477905,1.7950088947892853e-05,0.5555067387083114,2.295055423238596e-05
40,0.7775394797325135,1.3222476009597288e-05,0.8616932094097137,1.55379477395846e-05,0.551181061645085,2.499719579519858e-05
60,0.7754887580871582,1.7702563443160565e-05,0.859923267364502,1.8590940002584885e-05,0.546963689063276,3.513772038957972e-05
80,0.7728035390377045,1.8688968647451066e-05,0.8575206160545349,1.8265574735777893e-05,0.5415585621767567,3.7377825348047994e-05
100,0.7702846825122833,1.9203821986589724e-05,0.8551823914051055,2.103321235660124e-05,0.5364973304012899,3.8376262946775125e-05
150,0.7636903882026672,2.1933799841022826e-05,0.8489339172840118,2.6386432295268732e-05,0.5233176200062762,4.422147176333249e-05
233,0.7465073347091675,1.858577196201334e-05,0.832098263502121,1.706115776513501e-05,0.4892191557062967,3.820933220161939e-05
400,0.7042812883853913,1.1889417544614797e-05,0.7846955835819245,1.3143413448314697e-05,0.4055348333239236,2.3536660452643865e-05
900,0.6065249383449555,2.179843805931719e-06,0.6549511432647706,3.1924728492495787e-06,0.21167695210367676,3.531714253268146e-06
