percent,CrowdBT_acc_mean,CrowdBT_acc_std,CrowdBT_wacc_mean,CrowdBT_wacc_std,CrowdBT_tau_mean,CrowdBT_tau_std
10,0.7917138576507569,1.9625361291616005e-05,0.8730262458324433,1.8318466254941933e-05,0.5786573986871384,3.892143933393672e-05
20,0.7917073249816895,3.301749572621365e-05,0.8730218470096588,3.2984301903878926e-05,0.5786444200700049,6.552596196006847e-05
40,0.7917440593242645,4.726711805826595e-05,0.8730589389801026,4.918435879940025e-05,0.5787173300007817,9.37688404702934e-05
60,0.7917099833488465,8.174347183887839e-05,0.8730284690856933,7.262078753749711e-05,0.5786497066956199,0.0001621430441982493
80,0.7917022347450257,9.342733729135519e-05,0.8730180859565735,9.397750760688454e-05,0.5786343282224066,0.00018534424268695662
100,0.7916809260845185,9.210083190985698e-05,0.8729978680610657,8.889359188266059e-05,0.5785920844176697,0.00018269638726334676
150,0.791709840297699,0.00010684091925044914,0.8730225622653961,0.00011622493519564809,0.5786494142040286,0.00021193565940438473
233,0.7915852308273316,0.00015744874911226517,0.8729089140892029,0.00015750696540887743,0.5784022554367556,0.0003123107319527561
400,0.7914685010910034,0.0001758165229875222,0.8728307902812957,0.0001632243156243725,0.5781706699200951,0.0003487410198988135
900,0.790893304347992,0.0002925727340374668,0.8723705649375916,0.00033424322625768107,0.5770297043934539,0.0005803734505501205
