percent,GradEM_acc_mean,GradEM_acc_std,GradEM_wacc_mean,GradEM_wacc_std,GradEM_tau_mean,GradEM_tau_std
10,0.7920063257217407,1.7083959771947948e-05,0.8734355568885803,1.7319247282831376e-05,0.5792375613915973,3.38729511260856e-05
20,0.7919821798801422,1.622962240838361e-05,0.8734217822551728,1.8273921880581973e-05,0.5791896637772074,3.22068056078727e-05
40,0.7919594466686248,2.8636965205405396e-05,0.8734118461608886,2.845354688335039e-05,0.5791445465851224,5.680523483260406e-05
60,0.7919245004653931,4.082571140215617e-05,0.8733794748783111,4.255787038975581e-05,0.5790752188975491,8.097983052119114e-05
80,0.7918761253356934,4.430019780291141e-05,0.8733410477638245,4.369659721840932e-05,0.5789792753473797,8.78784593229049e-05
100,0.7918323099613189,4.0376294158851365e-05,0.8733026683330536,3.8103886296048784e-05,0.5788923610068087,8.006997120448777e-05
150,0.7917259991168976,5.313465377465774e-05,0.8732318043708801,5.882191025582662e-05,0.5786815011450377,0.000105391357921821
233,0.7915274620056152,6.70578044819218e-05,0.8730793178081513,8.083491321530487e-05,0.5782876808588643,0.00013301095841965741
400,0.7910692751407623,9.948388922473346e-05,0.8727608442306518,0.00012913038579491062,0.5773787932717699,0.00019733558983432934
900,0.789447009563446,0.00023325217474094847,0.8716765582561493,0.0002868579784506098,0.574160747949118,0.0004626781902529709
