percent,htcv_acc_mean,htcv_acc_std,htcv_wacc_mean,htcv_wacc_std,htcv_tau_mean,htcv_tau_std
10,0.7917070925235749,1.1062096984606288e-05,0.8732894062995911,1.0339713782689354e-05,0.5786439720331471,2.1912051199333194e-05
20,0.7917073130607605,1.4751931632002112e-05,0.8732915401458741,1.4664554871625865e-05,0.578644420070067,2.9286816380856038e-05
40,0.7917332708835602,2.1122416964273288e-05,0.8733167052268982,1.889091147408805e-05,0.5786959250427294,4.189573208795534e-05
60,0.7917374730110168,3.0364248817673875e-05,0.8733191370964051,2.7624972372487957e-05,0.5787042233606016,6.024662236826275e-05
80,0.7917267322540283,3.827344336791558e-05,0.8733095288276672,3.7320459146244864e-05,0.5786829622607562,7.593323287719408e-05
100,0.7917193710803986,3.995419382650564e-05,0.873301100730896,3.9197346784750687e-05,0.578668353911899,7.924554235442715e-05
150,0.7917074501514435,3.13112503227957e-05,0.8732940495014191,3.554033044414898e-05,0.5786446988209957,6.212865934889526e-05
233,0.7916497409343719,6.13448910449244e-05,0.8732471883296966,5.22270104621658e-05,0.5785302202200874,0.00012172041323741014
400,0.7915160477161407,8.386956858359302e-05,0.873145067691803,9.215326532700929e-05,0.5782649858126634,0.0001663525036521227
900,0.7911161184310913,0.00014720648308459185,0.8728544235229492,0.00018763025039177423,0.5774717048370969,0.0002920394147322519
