percent,RC_acc_mean,RC_acc_std,RC_wacc_mean,RC_wacc_std,RC_tau_mean,RC_tau_std
10,0.7799795031547546,0.00013494721463776078,0.8639023125171661,0.0001413224620538742,0.5568624452333808,0.0002690169005279849
20,0.7793522596359252,0.00015035191671368596,0.8634479522705079,0.00016747465869380344,0.5550524607563283,0.0002992375897885687
40,0.777980649471283,0.0001687477333377965,0.8622168660163879,0.00022134343089635463,0.5520176974456322,0.0003316010170648163
60,0.7763898372650146,0.0003375450461088485,0.8609172463417053,0.000430871822322212,0.5487089541781002,0.0006667909560138448
80,0.7745222508907318,0.00045752202491959327,0.8592784643173218,0.0005962130809557145,0.5448897647098208,0.0009094931224581486
100,0.773338007926941,0.0004843823229051803,0.8583604693412781,0.0005758360045059957,0.5424522512437473,0.0009601375184544583
150,0.7698671519756317,0.0005459349694063901,0.8554080665111542,0.000623964314584886,0.5355345231191844,0.0010826761581825546
233,0.7631323754787445,0.0006403427072253038,0.8493770003318787,0.0007523072706030382,0.5222122861298599,0.0012702189681190886
400,0.7495108246803284,0.001071666369087515,0.8359505116939545,0.0011738784188878187,0.49531389000992787,0.0021269121588731003
900,0.7168379366397858,0.002108721260497698,0.8003605782985688,0.0027651277334804687,0.4308515825241524,0.004184102900135192
