percent,BARP_acc_mean,BARP_acc_std,BARP_wacc_mean,BARP_wacc_std,BARP_tau_mean,BARP_tau_std
10,0.7884850323200225,3.116961682999204e-05,0.8708431661128998,3.0241982965838256e-05,0.5722525571016928,6.183507614328042e-05
20,0.7860673785209655,2.446020667118757e-05,0.8691986620426178,5.304526772685862e-05,0.5674567573764068,4.849662523981487e-05
40,0.7817000329494477,3.4266948740592775e-05,0.8657672464847564,3.6549006826845294e-05,0.5587935169754774,6.794281215167915e-05
60,0.7767079472541809,3.947118406806827e-05,0.8616332352161408,4.795900577837433e-05,0.5488909656105245,7.831868633149215e-05
80,0.7713430404663086,2.9359783878751997e-05,0.8570093452930451,3.3600893468793135e-05,0.5382489212095714,5.825963884678291e-05
100,0.7661179184913636,2.3187153730694085e-05,0.8525866091251373,2.406306835165339e-05,0.5278841223096589,4.602859632047693e-05
150,0.7510440647602081,3.71053659000554e-05,0.8381150245666504,3.5657616788000754e-05,0.49798288822555603,7.358554981382704e-05
233,0.7240317523479461,2.491056955465676e-05,0.8091504573822021,3.252164007293643e-05,0.44439996036931956,4.939866430385364e-05
400,0.6769031763076783,8.72029601320794e-06,0.751698786020279,1.1405795375556951e-05,0.3509134780289487,1.7284036531173563e-05
900,0.6003272414207459,7.76297813227694e-06,0.6467366576194763,8.752357079715358e-06,0.1990138752619553,1.5388119417153482e-05
