percent,CrowdBT_acc_mean,CrowdBT_acc_std,CrowdBT_wacc_mean,CrowdBT_wacc_std,CrowdBT_tau_mean,CrowdBT_tau_std
10,0.7916690111160278,3.626588760656418e-06,0.8729895770549774,4.07846061293728e-06,0.578568467154499,7.2027332004371595e-06
20,0.7916436314582824,2.5986258007102214e-06,0.8729683220386505,2.377986298406694e-06,0.5785180977534663,5.145214660819516e-06
40,0.7917061984539032,1.1003006124542318e-05,0.873018217086792,8.639540597758402e-06,0.578642183320757,2.1816991097800755e-05
60,0.7916956841945648,6.8669750468749325e-06,0.8729994833469391,5.372785955835289e-06,0.5786213492699119,1.3648440552540892e-05
80,0.7917231142520904,8.37533494774062e-06,0.8730324864387512,7.995744824673804e-06,0.5786757392943389,1.659681323354816e-05
100,0.7916862428188324,5.447385196132581e-06,0.873004961013794,4.163955058531589e-06,0.5786025998578795,1.0807056271735234e-05
150,0.7916805744171143,1.8104512255405674e-06,0.8730240345001221,1.542321292979405e-06,0.5785913628034194,3.584676768464952e-06
233,0.7915776431560516,2.8712430347359617e-06,0.872899717092514,3.829703951097959e-06,0.5783871780637365,5.6953660983173055e-06
400,0.7912176311016083,2.1884647091635194e-06,0.8725512325763702,2.878015689053732e-06,0.5776730678253255,4.3333255969755835e-06
900,0.790787672996521,6.669394868341893e-06,0.8723045468330384,4.643106184134716e-06,0.5768201662746477,1.3220000229962808e-05
