percent,GradEM_acc_mean,GradEM_acc_std,GradEM_wacc_mean,GradEM_wacc_std,GradEM_tau_mean,GradEM_tau_std
10,0.791988980770111,1.2385151020310184e-06,0.873412674665451,1.4221548334145397e-06,0.5792031475506015,2.45935794691353e-06
20,0.7919464886188508,2.4302400594950986e-06,0.8733862340450287,2.6222318146255546e-06,0.5791188687714586,4.820088684555766e-06
40,0.7919284164905548,2.240603528600319e-06,0.8733756422996521,2.335224483515796e-06,0.5790830124169541,4.400485516411454e-06
60,0.791873699426651,1.8679091457598211e-06,0.8733342945575714,2.6447877863929873e-06,0.5789744601789598,3.6664339569619415e-06
80,0.7918901801109314,3.3153472952347154e-06,0.8733564078807831,2.5014713820738654e-06,0.579007204363984,6.564512536013861e-06
100,0.7917957603931427,4.5385913613553315e-06,0.8732783555984497,3.7411780120103352e-06,0.578819889500374,8.998149062194304e-06
150,0.7916443228721619,4.860523975122478e-06,0.8731728076934815,3.939844476228472e-06,0.5785194814515318,9.655428418232132e-06
233,0.7914800465106964,4.963678564292642e-06,0.8730266094207764,3.1184111149129664e-06,0.5781936020544635,9.862037109239999e-06
400,0.7908305406570435,2.3227736586317243e-05,0.8725201070308686,1.4042810035613107e-05,0.5769052237775246,4.6086835230598557e-05
900,0.7888415277004241,3.4672980937117046e-05,0.8712321937084198,2.4572415844517266e-05,0.5729597234504299,6.877750538479292e-05
