percent,htcv_acc_mean,htcv_acc_std,htcv_wacc_mean,htcv_wacc_std,htcv_tau_mean,htcv_tau_std
10,0.7916992783546448,1.6470306787017996e-06,0.8732845067977906,1.1709847870360405e-06,0.578628474857819,3.258987345124712e-06
20,0.7917109251022338,2.206144970623992e-06,0.8732902824878692,2.209403566985596e-06,0.5786515965779807,4.361508187625042e-06
40,0.7917586982250213,1.501765018383151e-06,0.8733317017555237,1.1256286272156597e-06,0.5787463350370914,2.9851381871388433e-06
60,0.7917840123176575,1.9238916859120513e-06,0.8733509242534637,1.5281240702046352e-06,0.5787965757460984,3.830863776193845e-06
80,0.791828989982605,1.296863391242176e-06,0.8734027862548828,1.0584818306170996e-06,0.5788857474668017,2.557103141759779e-06
100,0.7917963147163392,2.410387073016114e-06,0.8733904242515564,1.5295996601434173e-06,0.5788209514244872,4.796026573644966e-06
150,0.7917541265487671,1.6746677813957954e-06,0.8733648419380188,1.3205354906637072e-06,0.5787372876041058,3.3563968980209134e-06
233,0.7917540550231934,2.672761597446524e-06,0.8733211696147919,2.7622685678302623e-06,0.5787371055613921,5.318956643205491e-06
400,0.79152592420578,6.444373043846351e-06,0.8731504499912262,4.470431803878163e-06,0.5782845820960404,1.2802919140483199e-05
900,0.7900677859783173,1.4429383385659084e-05,0.8722500324249267,9.903049397359046e-06,0.5753921739197464,2.8641662020058882e-05
