percent,RC_acc_mean,RC_acc_std,RC_wacc_mean,RC_wacc_std,RC_tau_mean,RC_tau_std
10,0.7799152553081512,1.7179958132924924e-05,0.8639934837818146,1.8521323122581623e-05,0.5569232041744463,3.255549339194616e-05
20,0.7791362822055816,1.955751924121694e-05,0.8634381055831909,2.6560343355591738e-05,0.5547898663200308,4.005688699950849e-05
40,0.77802654504776,1.9211441564146697e-05,0.862386417388916,1.898092669654096e-05,0.5521298108005973,3.954787469268767e-05
60,0.7762016534805298,2.396143490713198e-05,0.8609134733676911,2.644313630125529e-05,0.5483824925700308,4.7332245919011236e-05
80,0.7741740882396698,3.36752786831697e-05,0.8591872215270996,2.9120626202288613e-05,0.5442823318359108,6.708912332498898e-05
100,0.7725441992282868,2.3775940161131867e-05,0.8580480575561523,2.8367555623745426e-05,0.5409727447256409,4.815923450881911e-05
150,0.7662426769733429,4.137493629569178e-05,0.8526674091815949,3.8297670787382104e-05,0.5283726475678269,8.280749492454675e-05
233,0.7514352619647979,8.674556607089662e-06,0.8385474383831024,1.1806482560510089e-05,0.49899926455694327,1.706076475567703e-05
400,0.709273898601532,1.564982804051521e-05,0.7920896828174591,2.0867143480279814e-05,0.41543845420550163,3.0796260338346686e-05
900,0.6148231089115143,1.1152441579363989e-06,0.6672802746295929,1.560697288176798e-06,0.22813688869023202,2.2860541357665747e-06
