percent,BT_acc_mean,BT_acc_std,BT_wacc_mean,BT_wacc_std,BT_tau_mean,BT_tau_std
10,0.6778299391269684,0.000437073621076408,0.7401538133621216,0.0005988030070627662,0.3357976946124641,0.0008336340491579013
20,0.6739180445671081,0.0010253283571964734,0.7323915302753449,0.001607530123969591,0.3283775542388002,0.0019260663986512818
40,0.6573922097682953,0.0005218718876344554,0.711955326795578,0.000667920745856521,0.2972020193471941,0.0009862448215494798
60,0.634899091720581,0.0010118060611951196,0.6830772399902344,0.0014270667204816614,0.2547208990475047,0.001904448874689422
80,0.590549886226654,0.0007497995679558485,0.6253580212593078,0.0011795593385726065,0.17098994002177997,0.0014155165272652693
100,0.530101865530014,0.000771840564553181,0.5405812382698059,0.0012787795449537007,0.05684155809675099,0.0014533451742012914
150,0.40978325605392457,0.0005818963670541046,0.36644972264766695,0.0010556149717878968,-0.1703102184287303,0.0011069898040846967
233,0.34883148074150083,0.0004344837791187817,0.28853731155395507,0.0004363885283424679,-0.2854069763059687,0.0008202874506084318
400,0.32731659412384034,0.00036636105756367756,0.26471630930900575,0.000271399291383533,-0.326023654760111,0.0006875875824154965
900,0.32058006525039673,7.500492996248725e-05,0.2578799605369568,7.950554200541344e-05,-0.3387480538853975,0.00014162170829074512
