percent,BT_acc_mean,BT_acc_std,BT_wacc_mean,BT_wacc_std,BT_tau_mean,BT_tau_std
10,0.6809564173221588,0.004225592177515789,0.7436529755592346,0.004944236726327476,0.3416813122963841,0.007980432608835871
20,0.6775553524494171,0.004204613345833779,0.7398463487625122,0.004841362924432395,0.33525589148956836,0.00795413662269882
40,0.6706512451171875,0.006175982317195118,0.7319297015666961,0.007156105577128576,0.32221743051354973,0.011654634950248387
60,0.6656238377094269,0.00665235052237425,0.7254173696041107,0.00713996634237991,0.3127302039466183,0.012553876638935937
80,0.65561443567276,0.006766804462680408,0.7134819030761719,0.008238997480335167,0.2938183806815959,0.012771556425470381
100,0.6481328964233398,0.00773815942329134,0.7036927580833435,0.007613696095789828,0.2796979482701363,0.014610929770007037
150,0.6275063753128052,0.008720806079523637,0.6767019629478455,0.007983574116558572,0.24074430822787715,0.01646368282672954
233,0.5929969608783722,0.008962793432344995,0.6294158041477204,0.010938402052861094,0.1755937677952391,0.01692462036888033
400,0.5111854791641235,0.01146398230938004,0.5170967191457748,0.014541054611948032,0.02112128897920559,0.021645831671492508
900,0.39838274717330935,0.01379590194551264,0.358386355638504,0.01829296465165311,-0.19185519645779073,0.026046914720504022
