percent,GradEM_acc_mean,GradEM_acc_std,GradEM_wacc_mean,GradEM_wacc_std,GradEM_tau_mean,GradEM_tau_std
10,0.6955772995948791,0.00182899980912998,0.755235904455185,0.002153471045376137,0.3692534475343205,0.003453178980301877
20,0.6954228341579437,0.0027899496100166955,0.7554007112979889,0.0031079290625732237,0.36896183083777034,0.005267473933839627
40,0.6939499378204346,0.004185903539822261,0.7539100587368012,0.004631580565815535,0.3661809892673999,0.007903056176997247
60,0.6933301091194153,0.004839900977357521,0.7540748596191407,0.0049583959712284804,0.3650107104982379,0.009137808191506712
80,0.691701740026474,0.004162440219818816,0.752683287858963,0.0044970789081025505,0.36193634623983656,0.007858754201990137
100,0.6907114148139953,0.005185442647613068,0.7516264259815216,0.005649407172037033,0.3600665685972503,0.009790200149811466
150,0.6859858512878418,0.004339713554164553,0.7470169007778168,0.00519314213658915,0.3511446224760001,0.008193462778437976
233,0.6796127498149872,0.0062728118367462475,0.7407022356987,0.0066811782377363665,0.339112098258215,0.01184318201251606
400,0.566005426645279,0.061576732261266934,0.587888777256012,0.08576422047261989,0.12461944098391328,0.11625798759872703
900,0.5365809679031373,0.0070601128395207415,0.546653401851654,0.008021713918495075,0.06906550729536856,0.013329612298355257
