percent,htcv_acc_mean,htcv_acc_std,htcv_wacc_mean,htcv_wacc_std,htcv_tau_mean,htcv_tau_std
10,0.6926739096641541,0.0013066478172870592,0.7528266966342926,0.0013321221000133403,0.3637718160357699,0.0024669715355957003
20,0.6926163733005524,0.0011164095458256545,0.7528300046920776,0.0010673763003400624,0.36366317452136887,0.0021078102899703566
40,0.6917673766613006,0.0015273283099470545,0.7518263936042786,0.0018711989596282385,0.36206023568608336,0.002883623385735305
60,0.6906680107116699,0.0019270044299596893,0.7506317257881164,0.002214588519384248,0.3599846109635793,0.0036382102388725595
80,0.6894434571266175,0.00365756432535386,0.749298232793808,0.00390238102655694,0.357672643297466,0.006905561537697163
100,0.6885934472084045,0.0037647363955795516,0.7485159575939179,0.004225040383753274,0.3560677984706998,0.007107896864267853
150,0.6865794420242309,0.004114841486659829,0.7468014001846314,0.004456891012461434,0.3522653454666635,0.007768907549574442
233,0.6817680716514587,0.004852916570682268,0.7412361443042755,0.0052829894298164395,0.3431813900695521,0.009162382560856374
400,0.5836235821247101,0.06777248506837828,0.6108867526054382,0.09286529607201795,0.15788280430543808,0.12795566355061802
900,0.6466256856918335,0.01090580993580332,0.7029382705688476,0.012699724502962355,0.2768319206342095,0.020590375418478288
