percent,BT_acc_mean,BT_acc_std,BT_wacc_mean,BT_wacc_std,BT_tau_mean,BT_tau_std
10,0.6675409018993378,0.0004184866953647551,0.7306122660636902,0.0006619047725525219,0.31638875616246603,0.0007868693428577915
20,0.66250239610672,0.0015461186497922397,0.72120903134346,0.0021361577057809706,0.306873349952142,0.0029184122216598884
40,0.6301614165306091,0.0006911513079704365,0.6809706568717957,0.0008174332975362813,0.2457951019920598,0.0013050806604434412
60,0.6042450308799744,0.0002962878427786932,0.6477510213851929,0.00033573076978825784,0.1968515505779389,0.0005604760174551293
80,0.5824797928333283,0.0002689603520968577,0.6193943619728088,0.00043239583251861044,0.15575140104134136,0.000511183554484211
100,0.5675722062587738,0.00015197220902209572,0.5983114123344422,0.0002137070469650399,0.12761299566695541,0.00028689070665939564
150,0.5392319560050964,0.0001471367621189212,0.5580266892910004,9.259277609792507e-05,0.07408241010959106,0.0002778840880904315
233,0.5118295609951019,0.00023752939957798303,0.5185907006263732,0.00026610128720039295,0.022334408171076518,0.00044845917977460423
400,0.4880371868610382,0.00014185238282058088,0.4854512959718704,0.0001368407332039548,-0.022576570642896622,0.0002678252245499409
900,0.4734233796596527,4.269940925173254e-05,0.4651445060968399,4.6399712361035165e-05,-0.05017713172143373,8.061690582916515e-05
