percent,CrowdBT_acc_mean,CrowdBT_acc_std,CrowdBT_wacc_mean,CrowdBT_wacc_std,CrowdBT_tau_mean,CrowdBT_tau_std
10,0.6954026341438293,0.00033700783026891943,0.7547104001045227,0.0002990060125040005,0.3689237110081559,0.000636284361584104
20,0.6990641713142395,0.0003451517742613999,0.7581858932971954,0.0003991633045187095,0.37583674210872725,0.0006516595743246189
40,0.7001100361347199,0.00018564295641298372,0.7587737917900086,0.00012338167457763398,0.3778113492827532,0.00035049519823685443
60,0.6992802202701569,0.00042802781765855516,0.7576675176620483,0.0005148829042213835,0.3762446242856013,0.0008081134157976044
80,0.6997122883796691,0.0002028273333277766,0.7573972642421722,0.0002456372124265656,0.37706038863934943,0.00038292882036487173
100,0.5235056698322296,0.0031094441178513704,0.5270939767360687,0.004471308434566404,0.0443800750426098,0.005869374079865907
150,0.5343438625335694,0.001855226576808583,0.5411650776863098,0.002580905460921236,0.06484483736849007,0.0035022048347420516
233,0.5460018038749694,0.0022332549465179275,0.5590514481067658,0.003098501610998041,0.08685321440522756,0.0042177485677120045
400,0.5452880620956421,0.0008249592117206319,0.5588204145431519,0.0012258651848752855,0.08550765879543598,0.0015583862240874688
900,0.540082973241806,0.00018559915925545184,0.549765145778656,0.0002697451411837725,0.07568038662481144,0.0003494721034204867
